StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q8,Q9_First Click,Q9_Last Click,Q9_Page Submit,Q9_Click Count,Q14,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,Q2_13,Q2_14,Q2_15,Q2_16,Q2_17,Q2_18,Q2_19,Q2_20,Q2_21,Q10_First Click,Q10_Last Click,Q10_Page Submit,Q10_Click Count,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q4_16,Q4_17,Q4_18,Q4_19,Q4_20,Q11_First Click,Q11_Last Click,Q11_Page Submit,Q11_Click Count,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q5_11,Q5_12,Q5_13,Q5_14,Q5_15,Q5_16,Q5_17,Q5_18,Q5_19,Q5_20,Q12_First Click,Q12_Last Click,Q12_Page Submit,Q12_Click Count,Q13,random,workerId,assignmentId,hitId
2/12/18 8:45,2/12/18 8:47,1,,100,71,1,2/12/18 8:47,R_2DXMGueiA5vqATn,,,,,37.20610046,-93.30319977,preview,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
2/26/18 21:16,2/26/18 21:17,0,96.242.30.151,100,22,1,2/26/18 21:17,R_1Gxez2QUODweQbh,,,,,40.80859375,-74.18689728,anonymous,EN,1,3.423,3.423,5.253,1,,,,,,,,,,,,,,,,,,,,,,,0,0,2.923,0,,,,,,,,,,,,,,,,,,,,,0,0,1.591,0,,,,,,,,,,,,,,,,,,,,,0,0,1.858,0,fdsfdsfewrsfdstew,,,,
2/26/18 21:17,2/26/18 21:18,1,,100,22,1,2/26/18 21:18,R_Ahs0jSxu9XS7O6t,,,,,40.80859375,-74.18689728,preview,EN,1,3.161,3.161,5.441,1,,,,,,,,,,,,,,,,,,,,,,,1.835,2.606,5.049,2,,,,,,,,,,,,,,,,,,,,,0,0,1.511,0,,,,,,,,,,,,,,,,,,,,,0,0,1.264,0,fsdfdsfdasfdsafdsafds,194526,,,
2/28/18 12:00,2/28/18 12:05,0,72.50.144.12,100,265,1,2/28/18 12:05,R_1K3jsUoRLUE2jv3,,,,,39.64559937,-79.94329834,anonymous,EN,1,3.376,3.376,7.67,1,20,3,2,2,1,3,1,,2,2,3,4,2,2,4,2,3,,4,4,2,1,1.387,43.645,46.189,37,4,4,,3,4,2,4,1,3,3,3,,4,5,5,,4,1,2,,2.761,132.495,135.265,25,3,4,4,2,3,1,3,3,3,3,3,4,3,4,3,2,5,2,2,4,8.989,47.697,53.87,44,A114JRUBJ5IN7D,901260,A114JRUBJ5IN7D,3TXD01ZLD4H3J92OIZBLCGNORAS4UC,33QQ60S6ASIJY1MT9WJHCT1OBP4U0I
2/28/18 12:05,2/28/18 12:06,0,108.171.130.162,100,76,1,2/28/18 12:06,R_ywiR9kyh2DAS72p,,,,,40.64509583,-73.94499969,anonymous,EN,1,1.984,1.984,5.878,1,35,4,4,2,3,5,4,4,3,3,3,4,2,5,4,2,4,4,5,2,3,1,0.416,13.216,14.925,22,4,2,4,2,3,4,5,3,2,2,4,5,1,4,2,3,5,5,3,4,0.4,13.776,14.9,22,3,4,2,3,3,2,3,5,5,4,4,5,5,4,2,3,3,4,4,4,1.254,22.453,25.442,22,A39GADIK8RLMVC,938603,A39GADIK8RLMVC,3WLEIWSYHOHOB9HHEMLY0M10DOU2HD,33QQ60S6ASIJY1MT9WJHCT1OBP4U0I
2/28/18 12:15,2/28/18 12:22,0,174.52.3.43,100,433,1,2/28/18 12:22,R_e420RXKbG6Otz9L,,,,,40.58700562,-111.9878006,anonymous,EN,1,7.676,48.747,51.112,9,48,4,1,1,1,4,1,2,4,4,1,3,1,3,1,1,1,3,1,1,5,1,9.788,118.116,120.467,23,4,2,2,1,4,4,2,5,4,1,1,2,4,4,4,1,2,1,2,4,3.962,107.513,108.505,23,2,2,3,4,1,1,1,1,1,3,1,1,1,1,4,3,4,5,1,1,6.706,128.681,130.879,23,A2W3I2GBGDB637,582808,A2W3I2GBGDB637,3XXU1SWE8MV25C6PTT7S0CLH3VKA0Q,33QQ60S6ASIJY1MT9WJHCT1OBP4U0I
2/28/18 12:20,2/28/18 12:23,0,97.81.101.133,100,174,1,2/28/18 12:23,R_9vRF0aijnyVwBlD,,,,,33.90330505,-83.33059692,anonymous,EN,1,4.435,4.435,5.958,1,23,3,3,2,2,4,3,4,3,4,2,2,1,1,3,2,2,1,1,4,3,1,10.919,53.339,54.993,23,3,4,4,1,3,4,1,3,2,3,2,3,2,3,4,1,2,1,1,4,3.539,40.215,41.632,21,1,1,1,2,2,2,1,2,2,1,3,1,2,4,2,3,3,3,1,2,5.453,32.527,33.624,20,A12BTFPKFKKD2I,150887,A12BTFPKFKKD2I,3NJM2BJS4W6TM877USI9L8CDB6HCP1,33QQ60S6ASIJY1MT9WJHCT1OBP4U0I
2/28/18 12:22,2/28/18 12:29,0,104.228.125.10,100,436,1,2/28/18 12:29,R_1dzUBlxVcjxTPQ0,,,,,42.48669434,-75.03970337,anonymous,EN,1,2.674,2.674,5.045,1,28,1,3,3,3,4,2,4,3,3,3,3,1,1,3,3,3,1,2,3,3,1,4.002,98.726,99.999,27,4,3,4,3,3,3,2,1,3,3,1,4,3,3,3,1,1,1,1,4,25.34,219.322,220.438,25,1,1,1,3,1,1,3,3,3,1,3,1,2,3,3,3,1,1,2,4,4.391,87.989,91.789,20,AXJ1PE87PD0KK,982397,AXJ1PE87PD0KK,3UXUOQ9OKEXGNN69ESS1FRV4B9Q7AN,33QQ60S6ASIJY1MT9WJHCT1OBP4U0I
2/28/18 12:26,2/28/18 12:32,0,107.192.151.31,100,396,1,2/28/18 12:32,R_2qecHD9t8RfXvIa,,,,,29.47129822,-98.53530121,anonymous,EN,1,74.464,76.891,78.916,4,21,,5,4,4,4,3,4,4,4,3,4,5,4,5,3,4,4,3,5,4,1,2.801,37.163,38.674,27,4,5,,3,5,4,4,3,4,5,4,3,4,4,4,3,4,4,3,4,2.118,32.811,34.78,27,4,3,3,4,3,3,4,4,3,4,3,4,3,3,4,3,4,4,4,4,7.399,217.218,218.49,27,A2KW4G91TG69D0,678853,A2KW4G91TG69D0,3N4BPTXIO8SOXBRR3RY1JXCKOWOUKY,33QQ60S6ASIJY1MT9WJHCT1OBP4U0I
2/28/18 12:32,2/28/18 12:35,0,69.115.248.85,100,148,1,2/28/18 12:35,R_3j27QOxOFu7vqRy,,,,,40.61000061,-73.91079712,anonymous,EN,1,2.971,2.971,4.893,1,28,,,,,,,,,,,,,,,,,,,,,1,11.485,11.485,17.447,1,,,,,,,,,,,,,,,,,,,,4,6.544,6.544,12.156,1,,,,,,,,,,,,,,,,3,,,,,6.111,6.111,11.86,1,A3SD02HCW68EUL,631200,A3SD02HCW68EUL,3LUY3GC63Z0NARCB3BAY5MKZAVTP7O,33QQ60S6ASIJY1MT9WJHCT1OBP4U0I
