"","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q8","Q9_First.Click","Q9_Last.Click","Q9_Page.Submit","Q9_Click.Count","Q13","Q10_First.Click","Q10_Last.Click","Q10_Page.Submit","Q10_Click.Count","Q11_First.Click","Q11_Last.Click","Q11_Page.Submit","Q11_Click.Count","Q12_First.Click","Q12_Last.Click","Q12_Page.Submit","Q12_Click.Count","id","Q2_1","Q2_2","Q2_3","Q2_4","Q2_5","Q2_6","Q2_7","Q2_8","Q2_9","Q2_10","Q2_11","Q2_12","Q2_13","Q2_14","Q2_15","Q2_16","Q2_17","Q2_18","Q2_19","Q2_20","Q2_21","Q4_1","Q4_2","Q4_3","Q4_4","Q4_5","Q4_6","Q4_7","Q4_8","Q4_9","Q4_10","Q4_11","Q4_12","Q4_13","Q4_14","Q4_15","Q4_16","Q4_17","Q4_18","Q4_19","Q4_20","Q5_1","Q5_2","Q5_3","Q5_4","Q5_5","Q5_6","Q5_7","Q5_8","Q5_9","Q5_10","Q5_11","Q5_12","Q5_13","Q5_14","Q5_15","Q5_16","Q5_17","Q5_18","Q5_19","Q5_20","totalbad","totalbadUP","where","Q14","random","workerId","assignmentId","hitId"
"1","4/24/18 12:52","4/24/18 12:57",0,"146.7.112.121",100,310,1,"4/24/18 12:57","R_2Y3qcIWAola3IG3",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,4.688,4.688,19.129,1,"22",12.776,89.039,90.361,23,5.758,102.623,106.368,24,24.404,96.936,98.432,26,54507,3,3,4,2,4,3,3,3,4,2,1,3,1,2,2,4,3,1,3,3,1,3,4,4,3,2,3,2,1,2,2,2,4,2,2,4,2,1,1,2,4,2,2,1,2,2,2,2,3,2,1,4,1,2,2,3,3,3,3,2,1,3,0,"sona",NA,NA,NA,NA,NA
"2","4/24/18 13:23","4/24/18 13:29",0,"146.7.4.92",100,347,1,"4/24/18 13:29","R_2CqeLDsGFirrHQU",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,7.032,7.032,14.711,1,"19",2.609,142.609,149.027,35,5.931,85.56,87.243,22,2.445,86.933,89.152,24,54730,5,4,4,5,5,5,5,4,5,3,4,5,3,4,5,4,5,4,5,4,1,4,5,5,4,5,5,1,1,4,4,3,5,4,4,5,4,5,2,4,4,4,4,4,5,2,4,4,2,4,5,4,4,4,5,5,3,1,5,2,3,4,0,"sona",NA,NA,NA,NA,NA
"3","4/24/18 13:25","4/24/18 13:37",0,"146.7.4.91",100,694,1,"4/24/18 13:37","R_DCzVohNAQktmceJ",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,88.12,88.12,92.31,1,"20",11.902,134.926,136.162,22,66.366,178.508,179.756,21,99.5,286.8,287.94,21,55224,4,4,3,5,5,3,4,4,3,4,5,3,1,4,5,4,5,5,5,4,1,4,4,5,4,4,5,2,1,4,4,1,5,5,5,4,3,3,5,5,4,5,5,5,5,5,5,3,4,4,5,2,3,3,3,1,3,3,4,4,5,5,0,"sona",NA,NA,NA,NA,NA
"4","4/24/18 14:08","4/24/18 14:16",0,"146.7.4.86",100,528,1,"4/24/18 14:16","R_1Kg6FPCHfyl52Tk",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,7.96,10.125,13.911,2,"19",18.95,148.839,150.607,23,5.982,111.541,113.731,21,11.467,247.786,249.525,23,54822,4,5,5,5,5,5,4,5,5,3,3,3,3,3,5,5,4,3,5,5,1,4,3,5,3,3,3,3,1,3,2,3,4,3,5,5,3,3,3,5,4,5,5,3,5,3,3,3,2,4,3,2,3,3,3,3,3,5,3,3,5,3,0,"sona",NA,NA,NA,NA,NA
"5","4/24/18 14:49","4/24/18 14:56",0,"146.7.4.88",100,428,1,"4/24/18 14:56","R_RCsAXTKxbf2Az61",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,5.116,5.116,6.928,1,"20",9.766,135.94,137.32,25,14.412,145.996,147.362,22,14.044,116.084,117.384,20,55214,4,2,2,3,2,4,4,4,5,4,3,4,3,4,2,2,4,3,5,4,1,5,4,1,3,4,5,2,1,4,4,2,4,4,3,4,2,3,1,4,4,4,4,4,4,4,3,3,3,2,4,2,3,3,2,4,3,4,4,2,4,2,0,"sona",NA,NA,NA,NA,NA
"6","4/24/18 14:54","4/24/18 15:04",0,"146.7.4.72",100,624,1,"4/24/18 15:04","R_11X8ZX61KcSw9vV",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,3.922,140.327,194.583,3,"21",10.634,131.737,133.035,58,6.057,144.196,145.034,43,8.984,146.189,146.157,53,54375,3,5,5,5,5,4,4,4,4,3,3,5,1,4,5,5,5,5,5,5,1,4,4,5,3,3,4,2,1,5,4,1,5,5,5,5,3,3,1,5,4,5,5,5,5,2,3,5,3,5,5,5,1,3,4,3,3,3,3,5,5,4,0,"sona",NA,NA,NA,NA,NA
"7","4/24/18 15:43","4/24/18 15:50",0,"146.7.90.40",100,426,1,"4/24/18 15:50","R_2w5M1VcZF6WZilt",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,4.7,4.7,9.912,1,"19",5.117,146.624,147.89,23,7.056,121.222,122.242,21,7.889,138.783,140.211,20,55374,5,4,4,3,5,4,4,5,5,4,4,4,3,3,5,4,4,4,5,5,1,5,4,5,3,3,5,1,3,3,3,1,5,4,4,5,3,3,1,5,4,4,3,4,4,1,3,3,4,4,3,4,1,4,3,4,3,3,5,4,2,3,0,"sona",NA,NA,NA,NA,NA
"8","4/24/18 15:41","4/24/18 15:52",0,"146.7.4.83",100,669,1,"4/24/18 15:52","R_22yJ82bt2thzBqQ",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,42.191,42.191,47.372,1,"18",18.329,131.902,134.676,21,47.949,305.987,308.628,20,26.06,182.053,184.423,20,55402,4,3,3,4,4,4,4,4,4,3,5,5,5,3,4,4,5,5,5,4,1,3,4,4,3,2,4,2,2,3,3,1,3,4,4,4,2,5,1,5,4,4,5,4,4,2,2,4,3,4,5,4,1,3,4,4,3,4,5,4,4,3,0,"sona",NA,NA,NA,NA,NA
"9","4/24/18 17:09","4/24/18 17:15",0,"146.7.4.82",100,332,1,"4/24/18 17:15","R_3LkhMl2LaGd2Lli",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,23.226,23.226,25.87,1,"19",12.071,107.757,109.071,22,7.389,97.796,100.01,20,5.327,91.832,93.145,21,55722,3,4,4,3,4,3,4,4,4,3,3,4,3,3,4,4,3,3,5,4,1,3,3,5,3,4,5,3,1,4,3,2,4,4,4,5,3,3,3,4,4,4,3,3,4,3,3,3,4,3,3,4,2,3,4,4,3,4,5,4,2,3,0,"sona",NA,NA,NA,NA,NA
"10","4/24/18 17:18","4/24/18 17:24",0,"107.201.50.37",100,366,1,"4/24/18 17:24","R_bxYFMZgue4GUAJb",NA,NA,NA,NA,37.21899414,-93.31759644,"anonymous","EN",1,5.977,5.977,11.673,1,"19",6.052,120.83,122.453,21,6.413,112.952,114.903,22,8.228,116.373,117.834,21,54525,1,3,2,1,4,3,4,4,4,1,2,4,3,1,4,2,4,1,5,4,1,4,4,4,2,3,4,1,1,1,3,1,4,3,3,4,1,3,1,5,4,4,3,4,3,1,1,3,3,4,4,4,1,2,3,3,3,4,3,3,3,5,0,"sona",NA,NA,NA,NA,NA
